Town master list,,,,,,,,,
Towns in Tasmania,,,,,,,,,
Name,Postcode,RTO,LGA,Secondary LGA,Launceston and north,Hobart and south,East coast,West coast,North west
Derby,7264,VNT,Dorset Council,N/A,Yes - featured,,,,
Derwent Bridge,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Derwent Park,7009,DST,Glenorchy Council,N/A,,Yes - featured,,,
Detention,7321,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Deviot,7275,VNT,West Tamar Council,N/A,Yes - featured,,,,
Devon Hills,7300,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Devonport,7310,WxNW,Devonport City Council,N/A,,,,,Yes - featured
Dilston,7252,VNT,Launceston City Council,N/A,Yes - featured,,,,
Doctors Point,7304,DST,Central Highlands Council,N/A,,Yes - featured,,,
Doctors Rocks,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Dodges Ferry,7173,DST,Sorell Council,N/A,,Yes - featured,,,
Dolphin Sands,7190,ECTT,Glamorgan Spring Bay Council,N/A,,,Yes - featured,,
Don,7310,WxNW,Devonport City Council,N/A,,,,,Yes - featured
Douglas River,7215,ECTT,Break O'Day Council,Glamorgan Spring Bay Council,,,Yes - featured,,
Douglas-Apsley,7215,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Dover,7117,DST,Huon Valley Council,N/A,,Yes - featured,,,
Downlands,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
Dowsing Point,7010,DST,Glenorchy Council,N/A,,Yes - featured,,,
Dromedary,7030,DST,Brighton Council,N/A,,Yes - featured,,,
Dulcot,7025,DST,Clarence City Council,N/A,,Yes - featured,,,
Dunalley,7177,DST,Sorell Council,N/A,,Yes - featured,,,
Dunorlan,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Dynnyrne,7005,DST,Hobart City Council,N/A,,Yes - featured,,,
Dysart,7030,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Eaglehawk Neck,7179,DST,Tasman Council,N/A,,Yes - featured,,,
Doo Town,7179,DST,Tasman Council,N/A,,Yes - featured,,,
East Cam,7321,WxNW,Burnie Council,N/A,,,,,Yes - featured
East Devonport,7310,WxNW,Devonport City Council,N/A,,,,,Yes - featured
East Launceston,7250,VNT,Launceston City Council,N/A,Yes - featured,,,,
East Ridgley,7321,WxNW,Burnie Council,N/A,,,,,Yes - featured
Eddystone,7264,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Edgcumbe Beach,7321,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Edith Creek,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Egg Lagoon,7256,WxNW,King Island Council,N/A,,,,,Yes - featured
Eggs and Bacon Bay,7112,DST,Huon Valley Council,N/A,,Yes - featured,,,
Elderslie,7030,DST,Central Highlands Council,Southern Midlands Council,,Yes - featured,,,
Electrona,7054,DST,Kingborough Council,N/A,,Yes - featured,,,
Elizabeth Town,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Ellendale,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Elliott,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
